"Gene","Accession","HGNC"
"Hecw2","ENSMUSG00000042807","HECW2"
"Gtf3c3","ENSMUSG00000041303","GTF3C3"
"Pgap1","ENSMUSG00000073678","PGAP1"
"Ankrd44","ENSMUSG00000052331","ANKRD44"
"Sf3b1","ENSMUSG00000025982","SF3B1"
"Hspd1","ENSMUSG00000025980","Hspd1"
"Rftn2","ENSMUSG00000025978","RFTN2"
"Boll","ENSMUSG00000025977","BOLL"
"Satb2","ENSMUSG00000038331","SATB2"
"4930558J18Rik","ENSMUSG00000097519","4930558J18Rik"
"Tyw5","ENSMUSG00000048495","TYW5"
"Kctd18","ENSMUSG00000054770","KCTD18"
"Clk1","ENSMUSG00000026034","CLK1"
"Ppil3","ENSMUSG00000026035","PPIL3"
"Orc2","ENSMUSG00000026037","ORC2"
"Fam126b","ENSMUSG00000038174","FAM126B"
"Flacc1","ENSMUSG00000047528","FLACC1"
"Trak2","ENSMUSG00000026028","TRAK2"
"Tmem237","ENSMUSG00000038079","TMEM237"
"Mpp4","ENSMUSG00000079550","MPP4"
"Als2","ENSMUSG00000026024","ALS2"
"Gm26813","ENSMUSG00000097819","Gm26813"
"Gm28411","ENSMUSG00000099811","Gm28411"
"Sumo1","ENSMUSG00000026021","SUMO1"
"Ica1l","ENSMUSG00000026018","ICA1L"
"Wdr12","ENSMUSG00000026019","WDR12"
"Raph1","ENSMUSG00000026014","RAPH1"
"Pard3bos1","ENSMUSG00000085842","Pard3bos1"
"Gm29083","ENSMUSG00000100811","Gm29083"
"Gm4208","ENSMUSG00000100426","Gm4208"
"Ino80d","ENSMUSG00000040865","INO80D"
"Ndufs1","ENSMUSG00000025968","NDUFS1"
"Mdh1b","ENSMUSG00000025963","MDH1B"
"Klf7","ENSMUSG00000025959","KLF7"
"Gm28981","ENSMUSG00000101895","Gm28981"
"Mettl21a","ENSMUSG00000025956","METTL21A"
"2810408I11Rik","ENSMUSG00000087213","2810408I11Rik"
"Fzd5","ENSMUSG00000045005","FZD5"
"Plekhm3","ENSMUSG00000051344","PLEKHM3"
"Cryga","ENSMUSG00000044429","CRYGA"
"D630023F18Rik","ENSMUSG00000044816","C2orf80"
"Idh1","ENSMUSG00000025950","IDH1"
"Kansl1l","ENSMUSG00000026004","KANSL1L"
"Acadl","ENSMUSG00000026003","ACADL"
"Myl1","ENSMUSG00000061816","MYL1"
"Lancl1","ENSMUSG00000026000","LANCL1"
"Erbb4","ENSMUSG00000062209","ERBB4"
"Gm29113","ENSMUSG00000100354","Gm29113"
"Ikzf2","ENSMUSG00000025997","IKZF2"
"Bard1","ENSMUSG00000026196","BARD1"
"Fn1","ENSMUSG00000026193","FN1"
"Gm28818","ENSMUSG00000101211","Gm28818"
"4933417E11Rik","ENSMUSG00000101848","4933417E11Rik"
"Mreg","ENSMUSG00000039395","MREG"
"Pecr","ENSMUSG00000026189","PECR"
"March4","ENSMUSG00000039372","March4"
"Ankar","ENSMUSG00000039342","ANKAR"
"Igfbp5","ENSMUSG00000026185","IGFBP5"
"6030407O03Rik","ENSMUSG00000100301","6030407O03Rik"
"Tns1","ENSMUSG00000055322","TNS1"
"Aamp","ENSMUSG00000006299","AAMP"
"Tmbim1","ENSMUSG00000006301","TMBIM1"
"Usp37","ENSMUSG00000033364","USP37"
"Zfp142","ENSMUSG00000026135","ZNF142"
"Rnf25","ENSMUSG00000026171","RNF25"
"Prkag3","ENSMUSG00000006542","PRKAG3"
"Cryba2","ENSMUSG00000006546","CRYBA2"
"Cfap65","ENSMUSG00000047021","CFAP65"
"Ihh","ENSMUSG00000006538","IHH"
"Nhej1","ENSMUSG00000026162","NHEJ1"
"Slc23a3","ENSMUSG00000026205","SLC23A3"
"Cnppd1","ENSMUSG00000033159","CNPPD1"
"Abcb6","ENSMUSG00000026198","ABCB6"
"Atg9a","ENSMUSG00000033124","ATG9A"
"Glb1l","ENSMUSG00000026200","GLB1L"
"Tuba4a","ENSMUSG00000026202","TUBA4A"
"Ptprn","ENSMUSG00000026204","PTPRN"
"Resp18","ENSMUSG00000033061","RESP18"
"Dnpep","ENSMUSG00000026209","DNPEP"
"Chpf","ENSMUSG00000032997","CHPF"
"Obsl1","ENSMUSG00000026211","OBSL1"
"Epha4","ENSMUSG00000026235","EPHA4"
"Gm28387","ENSMUSG00000102052","Gm28387"
"Pax3","ENSMUSG00000004872","PAX3"
"Farsb","ENSMUSG00000026245","FARSB"
"5730419F03Rik","ENSMUSG00000099364","5730419F03Rik"
"Scg2","ENSMUSG00000050711","SCG2"
"Ap1s3","ENSMUSG00000054702","AP1S3"
"Wdfy1","ENSMUSG00000073643","WDFY1"
"Serpine2","ENSMUSG00000026249","SERPINE2"
"Fam124b","ENSMUSG00000043230","FAM124B"
"Cul3","ENSMUSG00000004364","CUL3"
"Dock10","ENSMUSG00000038608","DOCK10"
"Irs1","ENSMUSG00000055980","IRS1"
"Gm28940","ENSMUSG00000100786","Gm28940"
"Col4a4","ENSMUSG00000067158","COL4A4"
"C430014B12Rik","ENSMUSG00000097564","C430014B12Rik"
"Tm4sf20","ENSMUSG00000026149","TM4SF20"
"Sphkap","ENSMUSG00000026163","SPHKAP"
"Pid1","ENSMUSG00000045658","PID1"
"Dner","ENSMUSG00000036766","DNER"
"Trip12","ENSMUSG00000026219","TRIP12"
"Sp110","ENSMUSG00000070034","SP110"
"A630001G21Rik","ENSMUSG00000052760","A630001G21Rik"
"Gpr55","ENSMUSG00000049608","GPR55"
"Htr2b","ENSMUSG00000026228","HTR2B"
"Ncl","ENSMUSG00000026234","NCL"
"Pde6d","ENSMUSG00000026239","PDE6D"
"Nppc","ENSMUSG00000026241","NPPC"
"Ecel1","ENSMUSG00000026247","ECEL1"
"Kcnj13","ENSMUSG00000079436","KCNJ13"
"Ngef","ENSMUSG00000026259","NGEF"
"Gm19582","ENSMUSG00000101942","Gm19582"
"Usp40","ENSMUSG00000005501","USP40"
"Gm20528","ENSMUSG00000092220","Gm20528"
"Hjurp","ENSMUSG00000044783","HJURP"
"Gm29538","ENSMUSG00000099553","Gm29538"
"Glrp1","ENSMUSG00000062310","Glrp1"
"Arl4c","ENSMUSG00000049866","ARL4C"
"4933400F21Rik","ENSMUSG00000102009","4933400F21Rik"
"Gbx2","ENSMUSG00000034486","GBX2"
"Iqca","ENSMUSG00000026301","IQCA1"
"Col6a3","ENSMUSG00000048126","COL6A3"
"Rab17","ENSMUSG00000026304","RAB17"
"Ilkap","ENSMUSG00000026309","ILKAP"
"Hes6","ENSMUSG00000067071","HES6"
"Per2","ENSMUSG00000055866","PER2"
"Gm29100","ENSMUSG00000100980","Gm29100"
"Hdac4","ENSMUSG00000026313","HDAC4"
"Ndufa10","ENSMUSG00000026260","NDUFA10"
"Cops9","ENSMUSG00000073616","Cops9"
"Otos","ENSMUSG00000044055","OTOS"
"Gm29480","ENSMUSG00000101995","Gm29480"
"Ankmy1","ENSMUSG00000034212","ANKMY1"
"5033417F24Rik","ENSMUSG00000097251","5033417F24Rik"
"9430060I03Rik","ENSMUSG00000100632","9430060I03Rik"
"Kif1a","ENSMUSG00000014602","KIF1A"
"Mab21l4","ENSMUSG00000034159","MAB21L4"
"Mterf4","ENSMUSG00000026273","MTERF4"
"Pask","ENSMUSG00000026274","PASK"
"Hdlbp","ENSMUSG00000034088","HDLBP"
"Stk25","ENSMUSG00000026277","STK25"
"Thap4","ENSMUSG00000026279","THAP4"
"Dtymk","ENSMUSG00000026281","DTYMK"
"Pdcd1","ENSMUSG00000026285","PDCD1"
"St8sia4","ENSMUSG00000040710","ST8SIA4"
"D1Ertd622e","ENSMUSG00000044768","D1Ertd622e"
"Ppip5k2","ENSMUSG00000040648","PPIP5K2"
"Pam","ENSMUSG00000026335","PAM"
"Rnf152","ENSMUSG00000047496","RNF152"
"Gm28403","ENSMUSG00000101214","Gm28403"
"Pign","ENSMUSG00000056536","PIGN"
"Gm7160","ENSMUSG00000099843","Gm7160"
"Gm20753","ENSMUSG00000101583","Gm20753"
"A530053M12Rik","ENSMUSG00000100247","A530053M12Rik"
"Bcl2","ENSMUSG00000057329","BCL2"
"Kdsr","ENSMUSG00000009905","KDSR"
"Vps4b","ENSMUSG00000009907","VPS4B"
"Dsel","ENSMUSG00000038702","DSEL"
"Tsn","ENSMUSG00000026374","TSN"
"2900060B14Rik","ENSMUSG00000107722","2900060B14Rik"
"Gli2","ENSMUSG00000048402","GLI2"
"Inhbb","ENSMUSG00000037035","INHBB"
"Ralb","ENSMUSG00000004451","RALB"
"Gm27184","ENSMUSG00000098447","Gm27184"
"3830432H09Rik","ENSMUSG00000101731","3830432H09Rik"
"Epb41l5","ENSMUSG00000026383","EPB41L5"
"Ptpn4","ENSMUSG00000026384","PTPN4"
"Tmem177","ENSMUSG00000036975","TMEM177"
"Tmem37","ENSMUSG00000050777","TMEM37"
"Dbi","ENSMUSG00000026385","DBI"
"Steap3","ENSMUSG00000026389","STEAP3"
"Marco","ENSMUSG00000026390","MARCO"
"Insig2","ENSMUSG00000003721","INSIG2"
"2210011K15Rik","ENSMUSG00000101791","2210011K15Rik"
"Htr5b","ENSMUSG00000050534","Htr5b"
"Ddx18","ENSMUSG00000001674","DDX18"
"Dpp10","ENSMUSG00000036815","DPP10"
"Actr3","ENSMUSG00000026341","ACTR3"
"Lypd1","ENSMUSG00000026344","LYPD1"
"Nckap5","ENSMUSG00000049690","NCKAP5"
"Tmem163","ENSMUSG00000026347","TMEM163"
"2900009J06Rik","ENSMUSG00000102014","2900009J06Rik"
"Map3k19","ENSMUSG00000051590","MAP3K19"
"Zranb3","ENSMUSG00000036086","ZRANB3"
"Lct","ENSMUSG00000026354","LCT"
"Mcm6","ENSMUSG00000026355","MCM6"
"Dars","ENSMUSG00000026356","DARS1"
"Cxcr4","ENSMUSG00000045382","CXCR4"
"Cd55b","ENSMUSG00000026401","Cd55b"
"Gm15675","ENSMUSG00000086825","Gm15675"
"Cd55","ENSMUSG00000026399","CD55"
"C4bp","ENSMUSG00000026405","C4BPA"
"Pfkfb2","ENSMUSG00000026409","PFKFB2"
"Il24","ENSMUSG00000026420","IL24"
"Il19","ENSMUSG00000016524","IL19"
"Mapkapk2","ENSMUSG00000016528","MAPKAPK2"
"Dyrk3","ENSMUSG00000016526","DYRK3"
"Rassf5","ENSMUSG00000026430","RASSF5"
"Ikbke","ENSMUSG00000042349","IKBKE"
"Srgap2","ENSMUSG00000026425","SRGAP2C"
"Mfsd4a","ENSMUSG00000059149","MFSD4A"
"Cdk18","ENSMUSG00000026437","CDK18"
"Gm29630","ENSMUSG00000101549","Gm29630"
"Tmcc2","ENSMUSG00000042066","TMCC2"
"6030442K20Rik","ENSMUSG00000097760","6030442K20Rik"
"Nfasc","ENSMUSG00000026442","NFASC"
"Mdm4","ENSMUSG00000054387","MDM4"
"Sox13","ENSMUSG00000070643","SOX13"
"Snrpe","ENSMUSG00000090553","SNRPE"
"Zc3h11a","ENSMUSG00000102976","ZC3H11A"
"Lax1","ENSMUSG00000051998","LAX1"
"Atp2b4","ENSMUSG00000026463","ATP2B4"
"Optc","ENSMUSG00000010311","OPTC"
"Prelp","ENSMUSG00000041577","PRELP"
"Btg2","ENSMUSG00000020423","BTG2"
"Adora1","ENSMUSG00000042429","ADORA1"
"Ppfia4","ENSMUSG00000026458","PPFIA4"
"Tmem183a","ENSMUSG00000042305","TMEM183A"
"Ppp1r12b","ENSMUSG00000073557","PPP1R12B"
"Lgr6","ENSMUSG00000042793","LGR6"
"Gpr37l1","ENSMUSG00000026424","GPR37L1"
"Elf3","ENSMUSG00000003051","ELF3"
"Rnpep","ENSMUSG00000041926","RNPEP"
"Timm17a","ENSMUSG00000062580","TIMM17A"
"Shisa4","ENSMUSG00000041889","SHISA4"
"Ipo9","ENSMUSG00000041879","IPO9"
"Nav1","ENSMUSG00000009418","NAV1"
"Pkp1","ENSMUSG00000026413","PKP1"
"Gm15850","ENSMUSG00000086264","Gm15850"
"Inava","ENSMUSG00000041605","INAVA"
"Camsap2","ENSMUSG00000041570","CAMSAP2"
"9230116N13Rik","ENSMUSG00000097403","9230116N13Rik"
"Platr23","ENSMUSG00000097229","Platr23"
"Nr5a2","ENSMUSG00000026398","NR5A2"
"Ptprc","ENSMUSG00000026395","PTPRC"
"Nek7","ENSMUSG00000026393","NEK7"
"Lhx9","ENSMUSG00000019230","LHX9"
"2310009B15Rik","ENSMUSG00000079283","C1orf53"
"Crb1","ENSMUSG00000063681","CRB1"
"Cfh","ENSMUSG00000026365","Cfh"
"Cdc73","ENSMUSG00000026361","CDC73"
"Ro60","ENSMUSG00000018199","RO60"
"Rgs2","ENSMUSG00000026360","RGS2"
"Rgs1","ENSMUSG00000026358","RGS1"
"Rgs18","ENSMUSG00000026357","RGS18"
"Pla2g4a","ENSMUSG00000056220","PLA2G4A"
"Ptgs2os","ENSMUSG00000097028","Ptgs2os"
"Ptgs2os2","ENSMUSG00000097754","Ptgs2os2"
"Odr4","ENSMUSG00000006010","ODR4"
"Hmcn1","ENSMUSG00000066842","HMCN1"
"Gm10138","ENSMUSG00000100954","Gm10138"
"Swt1","ENSMUSG00000052748","SWT1"
"Rnf2","ENSMUSG00000026484","RNF2"
"Gm28181","ENSMUSG00000100357","Gm28181"
"2810414N06Rik","ENSMUSG00000100594","2810414N06Rik"
"1700025G04Rik","ENSMUSG00000032666","C1orf21"
"Tsen15","ENSMUSG00000014980","TSEN15"
"Rgl1","ENSMUSG00000026482","RGL1"
"Smg7","ENSMUSG00000042772","SMG7"
"Lamc2","ENSMUSG00000026479","LAMC2"
"Lamc1","ENSMUSG00000026478","LAMC1"
"E330020D12Rik","ENSMUSG00000073538","E330020D12Rik"
"Dhx9","ENSMUSG00000042699","DHX9"
"Npl","ENSMUSG00000042684","NPL"
"Teddm2","ENSMUSG00000045968","Teddm2"
"Cacna1e","ENSMUSG00000004110","CACNA1E"
"Gm9530","ENSMUSG00000096950","Gm9530"
"Ier5","ENSMUSG00000056708","IER5"
"Mr1","ENSMUSG00000026471","MR1"
"BC034090","ENSMUSG00000033722","KIAA1614"
"Xpr1","ENSMUSG00000026469","XPR1"
"Gm5532","ENSMUSG00000073535","Gm5532"
"Lhx4","ENSMUSG00000026468","LHX4"
"Qsox1","ENSMUSG00000033684","QSOX1"
"Cep350","ENSMUSG00000033671","CEP350"
"Tor1aip1","ENSMUSG00000026466","TOR1AIP1"
"Fam163a","ENSMUSG00000015484","FAM163A"
"Tdrd5","ENSMUSG00000060985","TDRD5"
"Axdnd1","ENSMUSG00000026601","AXDND1"
"Soat1","ENSMUSG00000026600","SOAT1"
"Tor3a","ENSMUSG00000060519","TOR3A"
"Fam20b","ENSMUSG00000033557","FAM20B"
"Ralgps2","ENSMUSG00000026594","RALGPS2"
"Rasal2","ENSMUSG00000070565","RASAL2"
"Brinp2","ENSMUSG00000004031","BRINP2"
"Pappa2","ENSMUSG00000073530","PAPPA2"
"4930562F07Rik","ENSMUSG00000026729","4930562F07Rik"
"Cacybp","ENSMUSG00000014226","CACYBP"
"Rabgap1l","ENSMUSG00000026721","RABGAP1L"
"Zbtb37","ENSMUSG00000043467","ZBTB37"
"Dars2","ENSMUSG00000026709","DARS2"
"Klhl20","ENSMUSG00000026705","KLHL20"
"Prdx6","ENSMUSG00000026701","PRDX6"
"Suco","ENSMUSG00000040297","SUCO"
"Dnm3","ENSMUSG00000040265","DNM3"
"Eef1aknmt","ENSMUSG00000026694","METTL13"
"Prrc2c","ENSMUSG00000040225","PRRC2C"
"Fmo4","ENSMUSG00000026692","FMO4"
"Fmo1","ENSMUSG00000040181","FMO1"
"Fmo2","ENSMUSG00000040170","FMO2"
"Fmo3","ENSMUSG00000026691","FMO3"
"Prrx1","ENSMUSG00000026586","PRRX1"
"Gorab","ENSMUSG00000040124","GORAB"
"Mettl11b","ENSMUSG00000040113","NTMT2"
"BC055324","ENSMUSG00000041406","C1orf112"
"Gm16548","ENSMUSG00000086593","Gm16548"
"Blzf1","ENSMUSG00000026577","BLZF1"
"Atp1b1","ENSMUSG00000026576","ATP1B1"
"4930568G15Rik","ENSMUSG00000102408","4930568G15Rik"
"Sft2d2","ENSMUSG00000040848","SFT2D2"
"Tiprl","ENSMUSG00000040843","TIPRL"
"Dcaf6","ENSMUSG00000026571","DCAF6"
"Mpzl1","ENSMUSG00000026566","MPZL1"
"Rcsd1","ENSMUSG00000040723","RCSD1"
"Pou2f1","ENSMUSG00000026565","POU2F1"
"Dusp27","ENSMUSG00000026564","STYXL2"
"Gm15853","ENSMUSG00000103400","Gm15853"
"Pogk","ENSMUSG00000040596","POGK"
"Gm16701","ENSMUSG00000102548","Gm16701"
"Gm16701-1","ENSMUSG00000097823","Gm16701-1"
"Uck2","ENSMUSG00000026558","UCK2"
"Mgst3","ENSMUSG00000026688","MGST3"
"Pbx1","ENSMUSG00000052534","PBX1"
"Nuf2","ENSMUSG00000026683","NUF2"
"Rgs4","ENSMUSG00000038530","RGS4"
"Gm15852","ENSMUSG00000089990","Gm15852"
"Hsd17b7","ENSMUSG00000026675","HSD17B7"
"Ddr2","ENSMUSG00000026674","DDR2"
"Uap1","ENSMUSG00000026670","UAP1"
"Gm37502","ENSMUSG00000103908","Gm37502"
"Uhmk1","ENSMUSG00000026667","UHMK1"
"Gm7694","ENSMUSG00000102752","Gm7694"
"Nos1ap","ENSMUSG00000038473","NOS1AP"
"Atf6","ENSMUSG00000026663","ATF6"
"Dusp12","ENSMUSG00000026659","DUSP12"
"Fcgr2b","ENSMUSG00000026656","Fcgr2b"
"Fcgr3","ENSMUSG00000059498","FCGR2A"
"Sdhc","ENSMUSG00000058076","SDHC"
"Pcp4l1","ENSMUSG00000038370","PCP4L1"
"Tomm40l","ENSMUSG00000005674","TOMM40L"
"Fcer1g","ENSMUSG00000058715","FCER1G"
"Ndufs2","ENSMUSG00000013593","NDUFS2"
"Ppox","ENSMUSG00000062729","PPOX"
"Usp21","ENSMUSG00000053483","USP21"
"Ufc1","ENSMUSG00000062963","UFC1"
"Gm20045","ENSMUSG00000103983","Gm20045"
"Nit1","ENSMUSG00000013997","NIT1"
"Klhdc9","ENSMUSG00000045259","KLHDC9"
"B930036N10Rik","ENSMUSG00000091993","B930036N10Rik"
"Ly9","ENSMUSG00000004707","LY9"
"Slamf7","ENSMUSG00000038179","SLAMF7"
"Vangl2","ENSMUSG00000026556","VANGL2"
"Nhlh1","ENSMUSG00000051251","NHLH1"
"Ncstn","ENSMUSG00000003458","NCSTN"
"Gm37756","ENSMUSG00000103380","Gm37756"
"Pea15a","ENSMUSG00000013698","PEA15"
"Casq1","ENSMUSG00000007122","CASQ1"
"Atp1a4","ENSMUSG00000007107","ATP1A4"
"Atp1a2","ENSMUSG00000007097","ATP1A2"
"Kcnj9","ENSMUSG00000038026","KCNJ9"
"4933439K11Rik","ENSMUSG00000085184","4933439K11Rik"
"Slamf8","ENSMUSG00000053318","SLAMF8"
"Dusp23","ENSMUSG00000026544","DUSP23"
"Cadm3","ENSMUSG00000005338","CADM3"
"Ifi206","ENSMUSG00000037849","Ifi206"
"Ifi207","ENSMUSG00000073490","Ifi207"
"Ifi204","ENSMUSG00000073489","Ifi204"
"Mndal","ENSMUSG00000090272","Mndal"
"Ifi211","ENSMUSG00000026536","MNDA"
"Ifi203","ENSMUSG00000039997","Ifi203"
"Grem2","ENSMUSG00000050069","GREM2"
"Rgs7","ENSMUSG00000026527","RGS7"
"Fh1","ENSMUSG00000026526","FH"
"Opn3","ENSMUSG00000026525","OPN3"
"Chml","ENSMUSG00000078185","CHML"
"Pld5","ENSMUSG00000055214","PLD5"
"Cep170","ENSMUSG00000057335","CEP170"
"Akt3","ENSMUSG00000019699","AKT3"
"Gm26801","ENSMUSG00000097892","Gm26801"
"2310043L19Rik","ENSMUSG00000101746","2310043L19Rik"
"Adss","ENSMUSG00000015961","ADSS2"
"B230369F24Rik","ENSMUSG00000086350","B230369F24Rik"
"Hnrnpu","ENSMUSG00000039630","HNRNPU"
"Smyd3","ENSMUSG00000055067","SMYD3"
"Tfb2m","ENSMUSG00000026492","TFB2M"
"Kif28","ENSMUSG00000087236","Kif28"
"Ahctf1","ENSMUSG00000026491","AHCTF1"
"Coq8a","ENSMUSG00000026489","COQ8A"
"Gm37336","ENSMUSG00000104520","Gm37336"
"Psen2","ENSMUSG00000010609","PSEN2"
"Mixl1","ENSMUSG00000026497","MIXL1"
"Gm37768","ENSMUSG00000103649","Gm37768"
"H3f3a","ENSMUSG00000060743","H3-3A"
"2210411M09Rik","ENSMUSG00000085563","2210411M09Rik"
"Ephx1","ENSMUSG00000038776","EPHX1"
"Nvl","ENSMUSG00000026516","NVL"
"Wdr26","ENSMUSG00000038733","WDR26"
"Ccdc121","ENSMUSG00000050625","Ccdc121"
"Lbr","ENSMUSG00000004880","LBR"
"Gm5533","ENSMUSG00000056699","Gm5533"
"Enah","ENSMUSG00000022995","ENAH"
"Degs1","ENSMUSG00000038633","DEGS1"
"Fbxo28","ENSMUSG00000047539","FBXO28"
"Capn2","ENSMUSG00000026509","CAPN2"
"Disp1","ENSMUSG00000030768","DISP1"
"Brox","ENSMUSG00000046836","BROX"
"Mia3","ENSMUSG00000056050","MIA3"
"1700056E22Rik","ENSMUSG00000044854","1700056E22Rik"
"1700112H15Rik","ENSMUSG00000101574","1700112H15Rik"
"Gm37800","ENSMUSG00000103308","Gm37800"
